userWallet,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,sum_deposit_usd,sum_borrow_usd,sum_repay_usd,sum_redeem_usd,liquidation_ratio,utilization_rate,borrow_repay_ratio,unique_token_count,activity_duration_days,total_actions,actions_per_day,mean_txn_interval_sec,referral_count
0x02dbd660e8ee9d7b7fa41bb28434e6f9ceb66989,2,0,0,0,0,2259609.878203447,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,0.3333333333333333,471606.0,0
0x02ddab581f06982cafddb23502714e485aa96df2,1,0,0,2,0,117786852.87458314,0.0,0.0,246265927.17593357,0.0,0.0,0.0,1,12,3,0.23076923076923078,525049.0,0
0x02debfb86afb43492c458869bd7904a897f08237,94,70,85,7,0,9.426929306019144e+21,8.21895559098641e+20,6.700254063155844e+20,1.4718049067721079e+19,0.0,0.08718592581084239,1.226663274782636,7,55,256,4.571428571428571,18927.317647058822,0
0x02e030f6975cc1cbda531b11ae4fd7ec698600c7,1,0,0,0,0,4.32838696359478e+20,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02e052679578006663d478fae910081209b4026c,2,0,0,0,0,3.0001283533445508e+16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2.0,8.0,0
0x02e07cc7e01b1ca69c0a6de55bfd9b99a8f0af3a,20,2,19,8,0,1.0219473153455139e+23,29102346732.480896,29362566843.60107,4.8431225000271945e+22,0.0,2.8477345451650387e-13,0.991137691963466,5,85,49,0.5697674418604651,154262.35416666666,0
0x02e11fa8415aa760fff68f184fc1dd5f95aefb88,1,0,0,0,0,1111473.9556359244,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02e14b3e880efd1cb8a504540d31d91ca311280c,81,32,15,38,0,7.829141348813893e+22,1.7664350287371824e+22,7.216132741239744e+21,5.773626295711925e+22,0.0,0.22562308560245825,2.4478970829376756,6,100,166,1.6435643564356435,52367.030303030304,0
0x02e27435247f11adf8c7544af31dd6098677ea3f,1,0,0,1,0,1248163783.6856384,0.0,0.0,1248163809.6474452,0.0,0.0,0.0,1,0,2,2.0,38.0,0
0x02e29372ef6a6f563cc7fcdd78c1b6064b502eb6,1,0,0,1,0,3.490448161204423e+21,0.0,0.0,4.504072709181055e+21,0.0,0.0,0.0,1,11,2,0.16666666666666666,951137.0,0
